inward_dt,unit,inward_no,item_mark,vakkal,lot_no,no_of_cartons,weight_kg,total_inventory_kgs,group_name,item_description,storage_location,exporter,last_purchase_rate,value
2024-12-21,Rishi,Rishi Cold,Khalas,-,114483,1504,10,15040,Economical Dates,AL BARAKAH KHALAS PREMIUM DATES,Rishi,AL BARAKAH,116,1744640
2024-12-31,Rishi,Rishi Cold,KHALAS,,114757,56,10,560,Economical Dates,AL BARAKAH KHALAS PREMIUM DATES,Rishi,AL BARAKAH,116,64960
2025-01-27,Rishi,Rishi Cold,WHITE,,115342,26,20,520,Premium Dates,Wet Dates Safavi,Rishi,Local,550,286000
2025-03-01,Rishi,Rishi Cold,KHALAS,,116061,699,10,6990,Economical Dates,AL BARAKAH KHALAS DATES,Rishi,AL BARAKAH,116,810840
2025-03-04,Rishi,Rishi Cold,KHALAS,,116121,500,10,5000,Economical Dates,AL BARAKAH KHALAS DATES,Rishi,AL BARAKAH,116,580000
2025-03-05,Rishi,Rishi Cold,FARD - STAND,,116140,9,10,90,Economical Dates,AL BARAKAH FARD DATES STANDARD,Rishi,AL BARAKAH,208,18720
2025-03-25,Rishi,Rishi Cold,Reziz,,116640,132,10,1320,Economical Dates,AL BARAKAH REZIZ DATES 10KG,Rishi,AL BARAKAH,87.7,115764
2025-04-04,Rishi,Rishi Cold,KHALAS,,116793,1292,10,12920,Economical Dates,AL BARAKAH KHALAS PREMIUM DATES,Rishi,AL BARAKAH,116,1498720
2025-04-05,Rishi,Rishi Cold,BARAHI,,116835,458,10,4580,Economical Dates,AL BARAKAH BARHI DATES 10KG,Rishi,AL BARAKAH,90.5,414490
2025-04-08,Rishi,Rishi Cold,KHALAS,,116927,250,10,2500,Economical Dates,AL BARAKAH KHALAS PREMIUM DATES,Rishi,AL BARAKAH,116,290000
2025-04-12,Rishi,Rishi Cold,KHALAS,,117042,9,10,90,Economical Dates,AL BARAKAH KHALAS PREMIUM DATES,Rishi,AL BARAKAH,116,10440
2025-04-13,Rishi,Rishi Cold,KHALAS,,117074,1607,10,16070,Economical Dates,AL BARAKAH KHALAS PREMIUM DATES,Rishi,AL BARAKAH,116,1864120
2025-04-15,Rishi,Rishi Cold,EMIRAT-BLA,,117122,34,10,340,Economical Dates,AL BARAKAH KHALAS PREMIUM DATES,Rishi,AL BARAKAH,116,39440
2025-04-27,Rishi,Rishi Cold,FARD,Orange Box,117407,848,10,8480,Economical Dates,Al Barakah Fard Dates Premium,Rishi,AL BARAKAH,233,1975840
2025-04-27,Rishi,Rishi Cold,FARD,Orange Box,117411,778,10,7780,Economical Dates,Al Barakah Fard Dates Premium,Rishi,AL BARAKAH,233,1812740
2025-04-28,Rishi,Rishi Cold,FARD,Orange Box,117413,134,10,1340,Economical Dates,Al Barakah Fard Dates Premium,Rishi,AL BARAKAH,233,312220
2025-05-10,Rishi,Rishi Cold,KHALAS,,117769,175,10,1750,Economical Dates,AL BARAKAH KHALAS DATES,Rishi,AL BARAKAH,116,203000
2025-05-13,Rishi,Rishi Cold,DRY - CHURA,,117833,37,10,370,Dry Dates,DRY DATES-GRADE 2,Rishi,NAKHEEL,241,89170
2025-05-31,Rishi,Rishi Cold,BROWN,,118284,9,16,144,Economical Dates,AL BARAKAH SUFRI DATES 10KG,Rishi,Local,115,16560
2025-06-03,Rishi,Rishi Cold,BROWN,,118351,17,15,255,Economical Dates,AL BARAKAH SUFRI DATES 10KG,Rishi,Local,115,29325
2025-06-03,Rishi,Rishi Cold,BROWN,,118352,5,13,65,Economical Dates,AL BARAKAH SUFRI DATES 10KG,Rishi,Local,115,7475
2025-06-03,Rishi,Rishi Cold,BROWN,,118353,2,18,36,Economical Dates,AL BARAKAH SUFRI DATES 10KG,Rishi,Local,115,4140
2025-06-30,Rishi,Rishi Cold,Al Barakah,RTV Sunirse,119002,46,15,690,Economical Dates,AL BARAKAH BARHI DATES 10KG,Rishi,AL BARAKAH,90.5,62445
2025-07-07,Rishi,Rishi Cold,Mazafati,,119224,1388,5,6940,Economical Dates,Wet Dates (Mazafati),Rishi,Local,198,1374120
2025-07-16,Rishi,Rishi Cold,Mazafati,,119491,321,5,1605,Economical Dates,Wet Dates (Mazafati),Rishi,Local,198,317790
2025-07-23,Rishi,Rishi Cold,Bam-Kimia,,119639,373,5,1865,Economical Dates,Wet Dates (Mazafati),Rishi,Local,240,447600
2025-08-01,Rishi,Rishi Cold,MIX,,119869,43.5,10,435,Economical Dates,Wet Dates Seedless Khalas,Rishi,AL BARAKAH,126,54810
2025-08-23,Rishi,Rishi Cold,PREMIUM,,120372,25,5,125,Economical Dates,Wet Dates (Mazafati),Rishi,Local,240,30000
2025-08-25,Rishi,Rishi Cold,ROYAL ARABIAN,,120409,337,12,4044,Economical Dates,Delmonte Royal Arabian dates 500g [1 Case x 24 unit] Non-Promo,Rishi,AL BARAKAH,116,469104
2025-11-24,Rishi,Rishi Cold,SAFAWI,,122755,301,5,1505,Premium Dates,Wet Dates Safavi,Rishi,Local,550,827750
2025-10-06,Rishi,Rishi Cold,KHALAS,AAT IMPEX,121432,1099,10,10990,Economical Dates,AL BARAKAH KHALAS PREMIUM DATES,Rishi,AL BARAKAH,116,1274840
2025-10-14,Rishi,Rishi Cold,BARAHI,,121648,,10,,Economical Dates,AL BARAKAH BARHI DATES 10KG,Rishi,AL BARAKAH,90.5,
2025-10-15,Rishi,Rishi Cold,BROWN,,121686,248,12,2976,Economical Dates,Delmonte Royal Arabian dates 500g [1 Case x 24 unit] Non-Promo,Rishi,AL BARAKAH,116,345216
2025-10-28,Rishi,Rishi Cold,Sayer Dates,,121939,,10,,Economical Dates,Wet Date Sayer ( Unpitted ),Rishi,AL BARAKAH,99,
2025-10-31,Rishi,Rishi Cold,KHALAS,,121977,2,10,20,Economical Dates,AL BARAKAH KHALAS PREMIUM DATES,Rishi,AL BARAKAH,116,2320
2025-11-02,Rishi,Rishi Cold,Sayer Dates,,122019,1806,10,18060,Economical Dates,Wet Date Sayer ( Unpitted ),Rishi,AL BARAKAH,99,1787940
2025-11-15,Rishi,Rishi Cold,BARHI,,122457,400,10,4000,Economical Dates,AL BARAKAH BARHI DATES 10KG,Rishi,Local,90.5,362000
2025-11-28,Rishi,Rishi Cold,Sayer Dates,,122909,879,5,4395,Economical Dates,Wet Date Sayer ( Unpitted ),Rishi,Local,105,461475
2025-11-29,Rishi,Rishi Cold,BARHI,,122937,159,10,1590,Economical Dates,AL BARAKAH BARHI DATES 10KG,Rishi,Local,90.5,143895
2025-12-08,Rishi,Rishi Cold,KHALAS,,123249,119,10,1190,Economical Dates,Wet Dates Seedless Khalas,Rishi,AL BARAKAH,126,149940
2025-12-09,Rishi,Rishi Cold,Mazafati,,123292,142,6.8,965.6,Economical Dates,Wet Dates (Mazafati),Rishi,Local,198,191188.8
2025-12-09,Rishi,Rishi Cold,Sayer Dates,,123293,4,10,40,Economical Dates,Wet Date Sayer ( Unpitted ),Rishi,AL BARAKAH,99,3960
2025-12-09,Rishi,Rishi Cold,Ajwa,,123294,28,5,140,Premium Dates,Wet Dates Ajwa,Rishi,,675,94500
2025-12-09,Rishi,Rishi Cold,Mabroom,,123295,2,15,30,Premium Dates,Wet Dates (Mabroom),Rishi,,990,29700
2025-12-09,Rishi,Rishi Cold,Sayer Dates,,123296,3,5,15,Economical Dates,Wet Date Sayer ( Unpitted ),Rishi,Local,105,1575
2025-12-09,Rishi,Rishi Cold,Crushed Dates,,123298,,10,,Economical Dates,AL BARAKAH CRUSHED DATES 10KG,Rishi,AL BARAKAH,127,
2025-12-10,Rishi,Rishi Cold,FARD - STAND,,123327,109,10,1090,Economical Dates,Al Barakah Fard Dates Seedless,Rishi,AL BARAKAH,230,250700
2025-12-11,Rishi,Rishi Cold,Khalas-Mix,,123364,52,10,520,Economical Dates,Wet Dates Seedless Khalas,Rishi,AL BARAKAH,126,65520
2025-12-11,Rishi,Rishi Cold,Fard-Mix,,123365,55,5,275,Economical Dates,Al Barakah Fard Dates Seedless,Rishi,AL BARAKAH,230,63250
2025-12-11,Rishi,Rishi Cold,FARD - STAND,,123366,73,10,730,Economical Dates,Al Barakah Fard Dates Seedless,Rishi,AL BARAKAH,230,167900
2025-12-18,Rishi,Rishi Cold,Zahidi,,123591,1682,10,16820,Economical Dates,Wet Dates Zahidi,Rishi,Local,115,1934300
2025-12-20,Rishi,Rishi Cold,Brown 13KG,,123683,486,12,5832,Economical Dates,Delmonte Royal Arabian dates 500g [1 Case x 24 unit] Non-Promo,Rishi,AL BARAKAH,116,676512
2025-12-20,Rishi,Rishi Cold,Brown,,123633,215,10,2150,Economical Dates,AL BARAKAH SUFRI DATES 10KG,Rishi,Local,115,247250
2025-12-20,Rishi,Rishi Cold,Khalas VR,,123688,40,10,400,Economical Dates,AL BARAKAH KHALAS DATES,Rishi,AL BARAKAH,116,46400
2025-12-25,Rishi,Rishi Cold,Seedless,,123887,70,10,700,Economical Dates,Wet Dates Seedless Khalas,Rishi,AL BARAKAH,126,88200
2025-12-25,Rishi,Rishi Cold,Barhi,,123888,100,10,1000,Economical Dates,AL BARAKAH BARHI DATES 10KG,Rishi,AL BARAKAH,90.5,90500
2025-12-26,Rishi,Rishi Cold,Fard,,123935,,10,,Economical Dates,AL BARAKAH FARD DATES STANDARD,Rishi,AL BARAKAH,195,
2025-12-26,Rishi,Rishi Cold,BAM-MIX,,123936,400,6,2400,Economical Dates,Wet Dates (Mazafati),Rishi,Local,199,477600
2025-12-29,Rishi,Rishi Cold,REZIZ,,124042,2,10,20,Economical Dates,AL BARAKAH REZIZ DATES 10KG,Rishi,AL BARAKAH,87.7,1754
2026-01-08,Rishi,Rishi Cold,Al Barakah Kimia 500g,,124407,50,6,300,Economical Dates,Al Barakah Kimia Dates 500 Gm,Rishi,,260,78000
2026-01-08,Rishi,Rishi Cold,BAM-MIX,,124409,264,6,1584,Economical Dates,Wet Dates (Mazafati),Rishi,Local,199,315216
2026-01-19,Rishi,Rishi Cold,Seedless,,124652,140,5,700,Economical Dates,Wet Dates Seedless Khalas,Rishi,AL BARAKAH,126,88200
2026-01-22,Rishi,Rishi Cold,Egyptian,,124679,1886,10,18860,Economical Dates,Egyptian Wet Dates 10Kg,Rishi,Muffaddar,100,1886000
2026-01-24,Rishi,Rishi Cold,PEST,,124789,1500,12.5,18750,Date Paste,AL BARAKAH DATE PASTE 12.5KG,Rishi,AL BARAKAH,95,1781250
2026-01-24,Rishi,Rishi Cold,FARD,,124790,345,10,3450,Economical Dates,Al Barakah Fard Dates Standard,Rishi,AL BARAKAH,157,541650
2026-02-03,Rishi,Rishi Cold,KHALAS,,124994,88,10,880,Economical Dates,Wet Dates Khalas,Rishi,Local,116,102080
2026-02-07,Rishi,Rishi Cold,FARD-RELIANCE,,125087,49,10,490,Economical Dates,Wet Dates Fard,Rishi,Local,215,105350
2026-02-10,Rishi,Rishi Cold,Barhi,,125168,2288,10,22880,Economical Dates,AL BARAKAH BARHI DATES 10KG,Rishi,Local,90.5,2070640
2026-02-11,Rishi,Rishi Cold,Barhi,,125178,2595,10,25950,Economical Dates,AL BARAKAH BARHI DATES 10KG,Rishi,Local,90.5,2348475
2026-02-13,Rishi,Rishi Cold,FARD,,125276,999,10,9990,Economical Dates,Al Barakah Fard Dates Premium,Rishi,AL BARAKAH,233,2327670
2026-02-14,Rishi,Rishi Cold,Sayer Dates WEFOOD 5KG,,125295,2400,5,12000,Economical Dates,Wet Date Sayer ( Unpitted ),Rishi,Local,96,1152000
2026-02-15,Rishi,Rishi Cold,Sayer Dates WEFOOD 5KG,,125329,2143,5,10715,Economical Dates,Wet Date Sayer ( Unpitted ),Rishi,Local,96,1028640
2026-02-15,Rishi,Rishi Cold,Sayer Dates WEFOOD 5KG,,125329,1285,5,6425,Economical Dates,Wet Date Sayer ( Unpitted ),Rishi,Local,96,616800
2026-02-15,Rishi,Rishi Cold,Sayer Dates WEFOOD 5KG,,125320,3483,5,17415,Economical Dates,Wet Date Sayer ( Unpitted ),Rishi,Local,96,1671840
2026-02-03,Supreme,22797,KHALAS _ Green,,34693,22,10,220,Economical Dates,Wet Dates Khalas,Supreme,Local,110,24200
2026-02-03,Supreme,22797,KHALAS _ White,,34693,1044,10,10440,Economical Dates,Wet Dates Khalas,Supreme,Local,110,1148400
,A-185,185 Cold,,,A-185,10,1,10,Almond,Almond Blanched Sliced,A-185 Cold,,802,8020
,A-185,185 Cold,,,A-185,10.396,1,10.396,Almond,Almonds Kernel Cube Cut,A-185 Cold,,790,8212.84
,A-185,185 Cold,,,A-185,50,1,50,Almond,American Almonds Kernal Sanora,A-185 Cold,,800,40000
,A-185,185 Cold,,,A-185,170,1,170,Almond,American Almonds Tonch,A-185 Cold,,800,136000
,A-185,185 Cold,,,A-185,9.04,1,9.04,Almond,Chilli Almonds Bulk,A-185 Cold,,630,5695.2
,A-185,185 Cold,,,A-185,20.34,1,20.34,Almond,American Almonds Kernel 20-22 count,A-185 Cold,,830,16882.2
,A-185,185 Cold,Reliance,,A-185,270,1,270,Almond,American Almonds Running 25-27 count,A-185 Cold,,790,213300
,A-185,185 Cold,,,A-185,8.04,1,8.04,Almond,Cocoa Glazed Almonds,A-185 Cold,,920,7396.799999999999
,A-185,185 Cold,,,A-185,648.3,1,648.3,Almond,Smoked Almonds,A-185 Cold,,595,385738.5
,A-185,185 Cold,,,A-185,125,1,125,Apricot,Turkey Apricot No 3,A-185 Cold,,880,110000
,A-185,185 Cold,,,A-185,52.5,1,52.5,Black Currant,Dried Black Currant,A-185 Cold,,490,25725
,A-185,185 Cold,,,A-185,,1,,Blueberry,Dried Blueberry Apple Infused,A-185 Cold,,1270,
,A-185,185 Cold,,,A-185,3582.06,1,3582.06,Blueberry,Dried Blueberry,A-185 Cold,Tajir,1130,4047727.8
,A-185,185 Cold,,,A-185,13,1,13,Cashew,Cashew 320,A-185 Cold,,780,10140
,A-185,185 Cold,,,A-185,14.98,1,14.98,Cashew,Cashew Tukda,A-185 Cold,,770,11534.6
,A-185,185 Cold,,,A-185,7,1,7,Cashew,Chilli Garlic Cashew Bulk,A-185 Cold,,750,5250
,A-185,185 Cold,,,A-185,11.34,1,11.34,Cranberry,Cranberry Slice Apple Infused,A-185 Cold,,470,5329.8
,A-185,185 Cold,,,A-185,725.2,1,725.2,Cranberry,Dried Cranberry Sliced,A-185 Cold,,375,271950
,A-185,185 Cold,Cranberry Whole,,A-185,2063.88,1,2063.88,Cranberry,Dried Cranberry Whole,A-185 Cold,,415,856510.2000000001
,A-185,185 Cold,,,A-185,90,1,90,Dry Dates,Kharik Tukda,A-185 Cold,,210,18900
,A-185,185 Cold,,,A-185,70,1,70,Date Powder,AL BARAKAH DEHYDRATED DATE POWDER - BULK PACK 10KG,A-185 Cold,,270,18900
,A-185,185 Cold,,,A-185,1620,1.15,1863,Date Syrup,AL BARAKAH DATE SYRUP(1.15KG X 12),A-185 Cold,,190,353969.9999999999
,A-185,185 Cold,,,A-185,260,0.4,104,Date Syrup,AL BARAKAH DATES SYRUP (400G Packing),A-185 Cold,,216,22464
,A-185,185 Cold,,,A-185,10,1,10,Dehydrated Fruits,Dehydrated Strawberry fruit,A-185 Cold,,944,9440
,A-185,185 Cold,,,A-185,5,1,5,Dehydrated Fruits,Dried Ginger Powder - Saunth Powder,A-185 Cold,,350,1750
,A-185,185 Cold,,,A-185,55.4,1,55.4,Dehydrated Fruits,Dried Mango Loose,A-185 Cold,,465,25761
,A-185,185 Cold,,Pplain,A-185,195.2,1,195.2,Dehydrated Fruits,Dried Orange Peel,A-185 Cold,,750,146400
,A-185,185 Cold,,,A-185,23.3,1,23.3,Dehydrated Fruits,Dried Apple,A-185 Cold,,726,16915.8
,A-185,185 Cold,,,A-185,14,1,14,Dehydrated Fruits,Dried Pineapple,A-185 Cold,,726,10164
,A-185,185 Cold,,,A-185,6.48,1,6.48,Makhana,Makhana 4+ Sutta,A-185 Cold,,1235,8002.8
,A-185,185 Cold,,,A-185,25,1,25,Miscellaneous,Coating Mix,A-185 Cold,,350,8750
,A-185,185 Cold,,,A-185,2,1,2,Miscellaneous,Cocoa Powder,A-185 Cold,,870,1740
,A-185,185 Cold,,,A-185,9.3,1,9.3,Miscellaneous,Jaggery Powder,A-185 Cold,,95,883.5000000000001
,A-185,185 Cold,,,A-185,1.3,1,1.3,Miscellaneous,Dark Compound Chips,A-185 Cold,,296,384.8
,A-185,185 Cold,,,A-185,25,1,25,Miscellaneous,Corn Grits / Meal,A-185 Cold,,40,1000
,A-185,185 Cold,,,A-185,488.5599999999999,1,488.5599999999999,Seasoning,PREGEFLO C 100 G,A-185 Cold,,270,131911.2
,A-185,185 Cold,,,A-185,,1,,Seasoning,SIDCOT STARCH,A-185 Cold,,250,
2023-07-21,A-185,185 Cold,,,A-185,526,1,526,Peanut,ROASTED BLANCHED PEANUT WHOLE,A-185 Cold,,270,142020
,A-185,185 Cold,,,A-185,,1,,Peanut,Peanuts,A-185 Cold,,127.01,
,A-185,185 Cold,,,A-185,442.26,1,442.26,Pistachios,California Pista Inshell,A-185 Cold,,857,379016.82
,A-185,185 Cold,,,A-185,380,1,380,Pistachios,Pista Kernel,A-185 Cold,,1500,570000
,A-185,185 Cold,,,A-185,49,1,49,Pistachios,Pista Irani Inshell Roasted and Salted,A-185 Cold,,920,45080
,A-185,185 Cold,,,A-185,,1,,Brazil Nuts,Brazil Nuts,A-185 Cold,,2800,
,A-185,185 Cold,,,A-185,29.6,1,29.6,Hazelnut,Hazelnut Kernal,A-185 Cold,,1280,37888
,A-185,185 Cold,,,A-185,1.4,1,1.4,Macadamia,Macadamia Kernel Style 0,A-185 Cold,,1790,2506
,A-185,185 Cold,,,A-185,77.18,1,77.18,Macadamia,Macadamia Roasted - Size 4L,A-185 Cold,,1290,99562.20000000001
,A-185,185 Cold,,,A-185,11.34,1,11.34,Macadamia,Macadamia Roasted - Size 6,A-185 Cold,,900,10206
,A-185,185 Cold,,,A-185,223.38,1,223.38,Pecan Nut,Pecan Nuts,A-185 Cold,,1440,321667.2
,A-185,185 Cold,,,A-185,80,1,80,Pecan Nut,Pecans Nuts Inshell,A-185 Cold,,464.5,37160
,A-185,185 Cold,,,A-185,12.04,1,12.04,Hazelnut,Cocoa Glazed Hazelnuts,A-185 Cold,,1262.24,15197.3696
,A-185,185 Cold,,,A-185,1428.84,1,1428.84,Prunes,Dried Prunes (Pitted),A-185 Cold,,470,671554.8
,A-185,185 Cold,,,A-185,224,1,224,Raisins,Afghan Munakka / Abjosh 1X2,A-185 Cold,,725,162400
,A-185,185 Cold,,,A-185,870,1,870,Raisins,Afghan Black Raisins Seedless 1*2,A-185 Cold,,370,321900
,A-185,185 Cold,,,A-185,17.68,1,17.68,Raisins,Indian Green Raisins,A-185 Cold,,400,7072
,A-185,185 Cold,,,A-185,202,1,202,Seasoning,Anardana Churan,A-185 Cold,,260,52520
,A-185,185 Cold,,,A-185,372,1,372,Seasoning,Anardana Powder,A-185 Cold,,230,85560
,A-185,185 Cold,,,A-185,111.7,1,111.7,Seasoning,Barbeque seasoning,A-185 Cold,,255,28483.5
,A-185,185 Cold,,,A-185,70,1,70,Seasoning,Black Pepper Seasoning,A-185 Cold,,540,37800
,A-185,185 Cold,,,A-185,33.5,1,33.5,Seasoning,"Black Salt, Kala Namak - Crystal",A-185 Cold,,32,1072
,A-185,185 Cold,,,A-185,2.5,1,2.5,Seasoning,CHAT MASALA MDH,A-185 Cold,,725,1812.5
,A-185,185 Cold,,,A-185,122.93,1,122.93,Seasoning,Chatpata Seasoning,A-185 Cold,,250,30732.5
,A-185,185 Cold,,,A-185,,1,,Seasoning,Cheesy Tomato Seasoning 2 (PR01895/001),A-185 Cold,,170,
,A-185,185 Cold,,,A-185,26.8,1,26.8,Seasoning,Chilli Garlic Masala Seasoning,A-185 Cold,,300,8040
,A-185,185 Cold,,,A-185,150,1,150,Seasoning,Chipotle Honey Seasoning,A-185 Cold,,259,38850
,A-185,185 Cold,,,A-185,1,1,1,Seasoning,Dalchini (Cinnamon) Powder,A-185 Cold,,450,450
,A-185,185 Cold,,,A-185,4,1,4,Seasoning,Dried Mango Powder - Amchur,A-185 Cold,,65,260
,A-185,185 Cold,,,A-185,,1,,Seasoning,Lemon Pepper Seasoning,A-185 Cold,,250,
,A-185,185 Cold,,,A-185,25.23,1,25.23,Seasoning,Magic Masala Seasoning,A-185 Cold,,210,5298.3
,A-185,185 Cold,,,A-185,46.68,1,46.68,Seasoning,Mango Slice Chilli Seasoning,A-185 Cold,,950,44346
,A-185,185 Cold,,,A-185,,1,,Seasoning,Mexican Chilli Seasoning (PR01027/001),A-185 Cold,,210,
,A-185,185 Cold,,,A-185,25,1,25,Seasoning,Paan Seasoning AB319,A-185 Cold,,230,5750
,A-185,185 Cold,,,A-185,101.5,1,101.5,Seasoning,Peri Peri Marination Seasoning,A-185 Cold,,217,22025.5
,A-185,185 Cold,,,A-185,25,1,25,Seasoning,Pizza Seasoning,A-185 Cold,,221,5525
,A-185,185 Cold,,,A-185,205,1,205,Seasoning,Pudina seasoning,A-185 Cold,,230,47150
,A-185,185 Cold,,,A-185,4,1,4,Seasoning,Black Pepper Powder,A-185 Cold,,365,1460
,A-185,185 Cold,,,A-185,270,1,270,Seeds,Sesame Seeds (White Til),A-185 Cold,,152,41040
,A-185,185 Cold,,,A-185,23,1,23,Seasoning,Smokey BBQ seasoning,A-185 Cold,,280,6440
,A-185,185 Cold,,,A-185,34.9,1,34.9,Seasoning,Sour Cream And Onion Seasoning,A-185 Cold,,450,15705
,A-185,185 Cold,,,A-185,52,1,52,Seasoning,SWEET THAI CHILLI SEASONING,A-185 Cold,,210,10920
,A-185,185 Cold,,,A-185,14.4,1,14.4,Seasoning,Tandoori Seasoning,A-185 Cold,,260,3744
,A-185,185 Cold,,Roasted,A-185,6,1,6,Seasoning,TANGY TOMATO SEASONING,A-185 Cold,,178,1068
,A-185,185 Cold,,,A-185,1.4,1,1.4,Seasoning,Urban Platter Mexican Chipotle Seasoning,A-185 Cold,,186,260.4
,A-185,185 Cold,,,A-185,5.6,1,5.6,Seasoning,Urban Platter Soya Chaap Seasoning,A-185 Cold,,595,3332
,A-185,185 Cold,,,A-185,75,1,75,Seasoning,Wasabi Seasoning AB343,A-185 Cold,,228,17100
,A-185,185 Cold,,,A-185,53.8,1,53.8,Seeds,Hemp Seeds,A-185 Cold,,240,12912
,A-185,185 Cold,,,A-185,143.56,1,143.56,Trail Mix,Crunchy Caramel Trail Mix,A-185 Cold,,750,107670
,A-185,185 Cold,,,A-185,,1,,Walnut,Chilean Walnut Kernel 2 pcs,A-185 Cold,,1380,
,A-185,185 Cold,,,A-185,8.04,1,8.04,Pecan Nut,Cinnamon Glazed Pecan,A-185 Cold,,1740,13989.6
,A-185,185 Cold,,,A-185,11.58,1,11.58,Blueberry,Dried Blueberry,A-185 Cold,,2189,25348.62
,A-185,185 Cold,,,A-185,300,0.5,150,Premium Dates,CURATE DATES MEDJOUL IMP ISREL 500G,A-185 Cold,,1148,172200
,A-185,185 Cold,,,A-185,45,0.5,22.5,Premium Dates,Fresho Kimia Dates 500 Gm,A-185 Cold,,300,6750
2023-12-06,A-185,185 Cold,,,A-185,3332,1,3332,Dry Dates,DRY DATES-GRADE 2,A-185 Cold,,241,803012
,A-185,185 Cold,,,A-185,100,1,100,Trail Mix,Natch Glazed Nut Mix Cinnamon,A-185 Cold,,820,82000
,A-185,185 Cold,,,A-185,16,1,16,Seasoning,Pure Maple Syrup,A-185 Cold,,1620,25920
,A-185,185 Cold,,,A-185,14.5,1,14.5,Dehydrated Fruits,Dried Cherry (Red),A-185 Cold,,600,8700
,A-185,185 Cold,,,A-185,15,1,15,Raisins,Afghan Black Raisins Seeded 1*2,A-185 Cold,,360,5400
,A-185,185 Cold,,,A-185,26400,1,26400,Seeds,Pumpkin Seeds (5%),A-185 Cold,,375,9900000
