"id","inward_dt","unit","inward_no","item_mark","vakkal","lot_no","no_of_cartons","weight_kg","total_inventory_kgs","group_name","item_description","storage_location","exporter","last_purchase_rate","value","created_at","updated_at"
1,"2023-07-24","D-39","GR5903","WHITE POWDER","V-2","56059","39.00","10.000","390.00","Date Powder","10KG AL BARAKAH DATE POWDER V2","Savla","AL BARAKAH","215.00","83850.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
2,"2023-12-06","D-39","GR14501","BASOOR=OMAN DRY DATES","GRADE 2","77517","49.00","7.000","343.00","Dry Dates","DRY DATES-GRADE 2","Savla","NAKHEEL","241.00","82663.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
3,"2023-12-06","D-39","GR14501","BASOOR=OMAN DRY DATES","GRADE 2","77517","14.00","7.000","98.00","Dry Dates","DRY DATES-GRADE 2","Savla","NAKHEEL","241.00","23618.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
4,"2023-12-06","D-39","GR14501","BASOOR=OMAN DRY DATES","GRADE 2","77517","9.00","7.000","63.00","Dry Dates","DRY DATES-GRADE 2","Savla","NAKHEEL","241.00","15183.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
5,"2023-12-06","D-39","GR14501","BASOOR=OMAN DRY DATES","GRADE 2","77517","3.00","7.000","21.00","Dry Dates","DRY DATES-GRADE 2","Savla","NAKHEEL","241.00","5061.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
6,"2023-12-25","D-39","GR15667","-","CUTT","79450","6.00","15.000","90.00","Dry Dates","Seedless Chopped Red Kharik Dry Dates","Savla","Local","250.00","22500.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
7,"2024-03-27","D-39","GR21140","KALMI DATES","SAFAVI","90088","2.00","5.000","10.00","Premium Dates","Wet Dates Safavi","Savla","Local","550.00","5500.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
8,"2024-03-27","D-39","GR21140","SAFAVI DATES","WHITE","90090","2.00","5.000","10.00","Premium Dates","Wet Dates Safavi","Savla","Local","550.00","5500.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
9,"2024-03-30","D-39","GR21328","SAFAVI 5KG","ROYAL DELIGHT","90507","3.00","5.000","15.00","Premium Dates","Wet Dates Safavi","Savla","Local","550.00","8250.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
10,"2024-05-30","D-514","GR1590","SAFAWI DATES BROWN BOX","-","71103","1.00","10.000","10.00","Premium Dates","Wet Dates Safavi","Savla","Local","550.00","5500.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
11,"2024-05-30","D-514","GR1590","SAFAWI DATES","BROWN & WHITE","71102","1.00","20.000","20.00","Premium Dates","Wet Dates Safavi","Savla","Local","550.00","11000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
12,"2024-06-06","D-39","GR3498","BROWN","-","97941","1.00","10.896","11.00","Premium Dates","Wet Dates Deglet","Savla","Hadiklaim","522.00","5687.70","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
13,"2024-06-12","D-514","GR1968","SAFAWI WHITE BOX","-","71480","1.00","10.000","10.00","Premium Dates","Wet Dates Safavi","Savla","Local","550.00","5500.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
14,"2024-06-12","D-514","GR1968","SAFAWI WHITE","-","71478","1.00","20.000","20.00","Premium Dates","Wet Dates Safavi","Savla","Local","550.00","11000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
15,"2024-07-27","D-39","GR6534","WHITE","V-2","93289","114.00","10.000","1140.00","Date Powder","10KG AL BARAKAH DATE POWDER V2","Savla","AL BARAKAH","215.00","245100.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
16,"2024-07-27","D-39","GR6534","WHITE","V-2","93289","77.00","10.000","770.00","Date Powder","10KG AL BARAKAH DATE POWDER V2","Savla","AL BARAKAH","215.00","165550.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
17,"2024-09-27","D-39","GR10651","WHITE","-","110715","98.00","10.000","980.00","Dry Dates","AL BARAKAH CHOPPED DATES","Savla","AL BARAKAH","110.00","107800.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
18,"2024-10-02","D-514","GR4752","ARSH SUKKARY PREMIUM","4.3 KG","75214","111.00","12.000","1332.00","Economical Dates","Wet Dates (Sukkary)","Savla","Local","350.00","466200.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
19,"2024-10-02","D-514","GR4750","DEGLET NOUR BRANCHES","1299205412","75207","7.00","5.000","35.00","Premium Dates","Wet Dates Deglet","Savla","Hadiklaim","510.00","17850.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
20,"2024-11-25","D-39","GR14538","SAAD/ BROWN","BLACK","121319","17.00","10.000","170.00","Economical Dates","AL BARAKAH LULU BLACK DATES-10KG","Savla","AL BARAKAH","182.00","30940.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
21,"2024-12-01","D-39","GR14927","SAFAVI DATES","-","122342","3.00","20.000","60.00","Premium Dates","Wet Dates Safavi","Savla","Local","550.00","33000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
22,"2024-12-10","D-39","GR15535","DATE CRUSHED","WHITE","123526","60.00","10.000","600.00","Dry Dates","AL BARAKAH CRUSHED DATES 10KG","Savla","AL BARAKAH","116.60","69960.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
23,"2024-12-10","D-39","GR15535","DATE POWDER V2","WHITE","123525","923.00","10.000","9230.00","Date Powder","10KG AL BARAKAH DATE POWDER V2","Savla","AL BARAKAH","215.00","1984450.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
24,"2025-01-15","D-514","GR7072","SIFA  AJWA S","74229","79000","38.00","5.000","190.00","Premium Dates","Wet Dates Ajwa","Savla","Local","980.00","186200.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
25,"2025-01-15","D-514","GR7072","SIAFA  AJWA G","74228","78999","59.00","5.000","295.00","Premium Dates","Wet Dates Ajwa","Savla","Local","980.00","289100.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
26,"2025-01-24","D-39","GR18618","AL BARAKAH DATES","DATES POWDER","129815","866.00","10.000","8660.00","Date Powder","10KG AL BARAKAH DATE POWDER V1","Savla","AL BARAKAH","270.00","2338200.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
27,"2025-02-10","D-514","GR7683","DATES WET MEDJOUL BABY","5KGX3","79912","9.00","15.000","135.00","Premium Dates","WET DATES MEDJOUL BULK MINI (5)","Savla","Hadiklaim","477.00","64395.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
28,"2025-02-10","D-514","GR7683","DATE MEDJOUL KING SOLOMON","500 GM","79910","59.00","8.000","472.00","Premium Dates","WET DATES MEDJOUL BULK LARGE (5)","Savla","Hadiklaim","817.00","385624.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
29,"2025-02-10","D-514","GR7683","DATE MEDJOUL KING SOLOMON","1 KG","79911","7.00","8.000","56.00","Premium Dates","WET DATES MEDJOUL JUMBO","Savla","Hadiklaim","1045.00","58520.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
30,"2025-02-11","D-514","GR7699","MEDJOUL SUPER JUMBO","NO.2","79952","9.00","5.000","45.00","Premium Dates","Off-Grade Dates","Savla","Hadiklaim","1139.00","51255.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
31,"2025-02-26","D-39","GR20724","-","KING SOLOMON","133830","119.00","10.000","1190.00","Premium Dates","King Solomon Medjoul Dates 500 Gms","Savla","Hadiklaim","817.00","972230.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
32,"2025-02-28","D-39","GR20841","DEGLET NOUR BRANCHES","1299205412","133992","1.00","5.000","5.00","Premium Dates","Wet Dates Deglet","Savla","Hadiklaim","510.00","2550.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
33,"2025-03-05","D-39","GR21205","AL-BARKAH DATE","-","134588","1592.00","10.000","15920.00","Date Powder","10KG AL BARAKAH DATE POWDER V1","Savla","AL BARAKAH","270.00","4298400.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
34,"2025-03-05","D-39","GR21205","AL-BARKAH DATE","-","134588","102.00","10.000","1020.00","Date Powder","10KG AL BARAKAH DATE POWDER V1","Savla","AL BARAKAH","270.00","275400.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
35,"2025-03-07","D-39","GR21347","AL BARAKAH","DATE POWDER","134869","370.00","10.000","3700.00","Date Powder","10KG AL BARAKAH DATE POWDER V1","Savla","AL BARAKAH","270.00","999000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
36,"2025-03-19","D-514","GR8554","MDJL LARGE","NO-2","81382","4.00","5.000","20.00","Premium Dates","Off-Grade Dates","Savla","Hadiklaim","200.00","4000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
37,"2025-03-21","D-514","GR8597","ROYAL DELIGHT","AJWA","81466","73.00","5.000","365.00","Premium Dates","Royal Delight Ajwa Dates 5 Kgs","Savla","Local","980.00","357700.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
38,"2025-03-24","D-39","GR22314","AL BARAKAH","SAFAVI 500G","132065","3.00","10.000","30.00","Premium Dates","Al Barakaha Safavi Dates 500g","Savla","0","700.00","21000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
39,"2025-03-24","D-39","GR22314","RD SAFAVI","250GM","132067","17.00","5.000","85.00","Premium Dates","RD Safavi Dates 250g","Savla","Local","550.00","46750.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
40,"2025-03-24","D-39","GR22314","ROYAL DELIGHT","ARABIAN 250G","132066","10.00","8.000","80.00","Economical Dates","Royal Delight Arabian 250gm","Savla","AL BARAKAH","116.00","9280.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
41,"2025-03-31","D-514","GR8855","WANAN DATES","12.5 KG","81944","3.00","12.500","38.00","Organic Dates","Organic Wanan Premium Large","Savla","NAKHEEL","715.00","26812.50","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
42,"2025-03-31","D-514","GR8855","SEQEE DATES","12.5 KG","81942","3.00","12.500","38.00","Organic Dates","Organic Seqee Premium Large","Savla","NAKHEEL","641.00","24037.50","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
43,"2025-03-31","D-514","GR8855","SUKHARI BROWN BOX","1 KG","81934","1.00","10.000","10.00","Economical Dates","Wet Dates (Sukkary)","Savla","Local","350.00","3500.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
44,"2025-03-31","D-514","GR8855","KHIDRI","12.5 KG","81943","1.00","12.500","13.00","Organic Dates","Organic Khidri Premium Medium","Savla","NAKHEEL","403.00","5037.50","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
45,"2025-03-31","D-514","GR8855","DEGLET BROWN BOX","500 GM","81937","10.00","5.000","50.00","Premium Dates","Wet Dates Deglet","Savla","Hadiklaim","510.00","25500.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
46,"2025-04-07","D-39","GR465","CRUSHED WHITE","-","138382","3.00","10.000","30.00","Dry Dates","AL BARAKAH CRUSHED DATES 10KG","Savla","AL BARAKAH","127.00","3810.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
47,"2025-04-07","D-514","GR117","ORGANIC WANAN","PR.JUMBO","76578","11.00","12.500","138.00","Organic Dates","Organic Wanan Premium Jumbo","Savla","NAKHEEL","938.00","128975.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
48,"2025-04-07","D-514","GR117","ORGANIC WANAN","PR.LARGE","76579","10.00","12.500","125.00","Organic Dates","Organic Wanan Premium Large","Savla","NAKHEEL","715.00","89375.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
49,"2025-04-30","D-514","GR748","RABIA DETLAND DATES","-","2056","5.00","5.000","25.00","Economical Dates","Wet Dates (Rabia)","Savla","Local","187.50","4687.50","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
50,"2025-05-16","D-39","GR3027","DATE POWDER","-","142972","50.00","10.000","500.00","Date Powder","10KG AL BARAKAH DATE POWDER V1","Savla","AL BARAKAH","270.00","135000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
51,"2025-06-29","D-39","GR5609","AL BARAKAH","MIX","147739","32.00","10.000","320.00","Date Powder","10KG AL BARAKAH DATE POWDER V1","Savla","AL BARAKAH","270.00","86400.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
52,"2025-09-24","D-39","GR10777","AL BARAKAH","-","156985","1529.00","10.000","15290.00","Date Powder","10KG AL BARAKAH DATE POWDER V1","Savla","AL BARAKAH","280.00","4281200.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
53,"2025-10-04","D-39","GR11598","AL BARAKAH","-","159001","49.00","10.000","490.00","Economical Dates","AL BARAKAH SAYER DATES 10KG","Savla","AL BARAKAH","99.00","48510.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
54,"2025-10-16","D-514","GR5011","IRAN BAM MIX","-","8004","385.00","6.900","2657.00","Economical Dates","Wet Dates (Mazafati)","Savla","0","240.00","637560.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
55,"2025-10-22","D-39","GR12815","AL BARAKAH","-","162607","0.00","12.500",NULL,"Date Paste","AL BARAKAH DATE PASTE 12.5KG","Savla","AL BARAKAH","85.00",NULL,"2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
56,"2025-11-04","D-39","GR13565","KIMIA GOLD","-","164985","342.00","6.800","2326.00","Economical Dates","Wet Dates (Mazafati)","Savla","0","200.00","465120.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
57,"2025-11-19","D-514","GR5839","AJWA PREMIUM (JFD)8883","-","9620","5.00","5.000","25.00","Premium Dates","Wet Dates Ajwa","Savla","0","675.00","16875.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
58,"2025-11-19","D-514","GR5839","AJWA REGULAR (JFD) 8884","-","9621","50.00","5.000","250.00","Premium Dates","Wet Dates Ajwa","Savla","0","675.00","168750.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
59,"2025-11-20","D-39","GR14955","AL FAJR","LARGE PREMIUM","168296","143.00","5.000","715.00","Premium Dates","WET DATES MEDJOUL BULK LARGE (5)","Savla","Local","775.00","554125.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
60,"2025-11-20","D-39","GR14954","ARWA GREEN","LARGE DELIGHT","168297","159.00","5.000","795.00","Premium Dates","WET DATES MEDJOUL BULK LARGE (5)","Savla","Local","775.00","616125.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
61,"2025-12-13","D-514","GR6454","AJWA REGULAR [8884]","-","10798","15.00","5.000","75.00","Premium Dates","Wet Dates Ajwa","Savla","0","675.00","50625.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
62,"2025-12-13","D-514","GR6454","SIAFA MABROOM REGUL.[8701]","-","10801","45.00","5.000","225.00","Premium Dates","Wet Dates (Mabroom)","Savla","0","800.00","180000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
63,"2026-01-05","D-39","GR18060","DATE SYRUP","AL BARKH","176393","465.00","25.000","11625.00","Date Syrup","25KG AL BARAKAH DATE SYRUP V1","Savla","AL BARAKAH","109.80","1276425.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
64,"2026-01-05","D-39","GR18127","DATE SYRUP","-","176443","856.00","25.000","21400.00","Date Syrup","25KG AL BARAKAH DATE SYRUP V1","Savla","AL BARAKAH","109.80","2349720.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
65,"2026-01-12","D-514","GR7119","AJWA WHITE BOX","-","12108","200.00","5.000","1000.00","Premium Dates","Wet Dates Ajwa","Savla","0","675.00","675000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
66,"2026-01-18","D-514","GR7275","SUPER SELECT SAFAWI","SP","12328","21.00","5.000","105.00","Premium Dates","Wet Dates Safavi","Savla","0","248.00","26040.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
67,"2026-01-18","D-514","GR7275","SUPER SELECT AJWA","A","12325","916.00","5.000","4580.00","Premium Dates","Wet Dates Ajwa","Savla","0","248.00","1135840.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
68,"2026-01-18","D-514","GR7275","SUPER SELECT SAFAWI","SS","12324","690.00","5.000","3450.00","Premium Dates","Wet Dates Safavi","Savla","0","435.00","1500750.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
69,"2026-01-18","D-514","GR7275","SUPER SELECT SAFAWI","SS","12324","970.00","5.000","4850.00","Premium Dates","Wet Dates Safavi","Savla","0","435.00","2109750.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
70,"2026-01-18","D-514","GR7275","AL BARAKH BUCKET","-","12323","384.00","25.000","9600.00","Date Syrup","25KG AL BARAKAH DATE SYRUP V1","Savla","AL BARAKAH","118.32","1135872.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
71,"2026-01-18","D-39","GR18934","AL BARAKAH SYRUP","-","177987","1317.00","4.800","6322.00","Date Syrup","AL BARAKAH DATES SYRUP 400G","Savla","AL BARAKAH","343.20","2169573.10","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
72,"2026-01-18","D-39","GR18934","AL BARAKAH DATE POWDER","-","177988","200.00","10.000","2000.00","Date Powder","10KG AL BARAKAH DATE POWDER V1","Savla","AL BARAKAH","280.00","560000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
73,"2026-01-18","D-39","GR18934","AL BARAKAH","PASTE","177986","211.00","12.500","2638.00","Date Paste","AL BARAKAH DATE PASTE 12.5KG","Savla","AL BARAKAH","85.00","224187.50","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
74,"2026-01-19","D-39","GR18963","AL BARAKH SYRUP","400 GM","168714","19.00","4.800","91.00","Date Syrup","AL BARAKAH DATES SYRUP 400G","Savla","AL BARAKAH","343.20","31299.80","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
75,"2026-01-29","D-514","GR7518","SAFAWI DATES(WHITE BOX )","-","12324","184.00","5.000","920.00","Premium Dates","Wet Dates Safavi","Savla","0","435.00","400200.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
76,"2026-02-04","D-514","GR7675","MEDJOUL DATELAND (9970)","-","13039","118.00","5.000","590.00","Premium Dates","WET DATES MEDJOUL BULK MINI (5)","Savla","Local","675.00","398250.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
77,"2026-02-16","D-39","GR20651","DATE SYRUP","AL-BARKH","176393","19.00","25.000","475.00","Date Syrup","25KG AL BARAKAH DATE SYRUP V1","Savla","AL BARAKAH","109.80","52155.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
78,"2024-02-27","D-39","GR19491","ROASTED","A-185-RMSIZE6","86683","30.00","11.340","340.00","Macadamia","Macadamia Roasted - Size 6","Savla","0","900.00","306180.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
79,"2024-02-28","D-39","GR19567","ROASTED NIS SAWN PASTE","A-185 RM","86838","12.00","12.000","144.00","Macadamia Paste","Macadamia Paste","Savla","0","1676.80","241459.20","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
80,"2024-10-09","D-39","GR11739","WHOLE","APPLE INFUSED","113027","2.00","9.080","18.00","Blueberry","Dried Blueberry Apple Infused","Savla","Tajir","1270.00","23063.20","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
81,"2024-10-26","D-39","GR12937","DRY ROASTED MACAAMIA","PASTE 2KG","109237","2.00","12.000","24.00","Macadamia Paste","Macadamia Paste","Savla","0","1676.80","40243.20","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
82,"2024-11-08","D-514","GR5551","ORGANIC MEDJOUL","PR.LARGE","76581","7.00","5.000","35.00","Organic Dates","Organic Medjool Premium Large","Savla","NAKHEEL","730.00","25550.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
83,"2024-11-08","D-514","GR5550","ORGANIC KHIDRI","PR.MEDIUM","76577","49.00","12.500","613.00","Organic Dates","Organic Khidri Premium Medium","Savla","NAKHEEL","403.00","246837.50","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
84,"2024-11-08","D-514","GR5551","ORGANIC KHIDRI","PR.LARGE","76576","35.00","12.500","438.00","Organic Dates","Organic Khidri Large dates","Savla","NAKHEEL","462.00","202125.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
85,"2024-11-14","D-514","GR5704","ORAGNIC KHIDRI","PR.MEDIUM","76577","38.00","12.500","475.00","Organic Dates","Organic Khidri Premium Medium","Savla","NAKHEEL","403.00","191425.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
86,"2024-11-14","D-39","GR13889","MARAUIS","STYLE4 SALTED","119159","3.00","11.340","34.00","Macadamia","Macadamia Roasted Salted - Size 4","Savla","0","1277.00","43443.50","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
87,"2024-11-16","D-514","GR5739","ORAGNIC SEQCE LARGE","LARGE","76870","1.00","12.500","13.00","Organic Dates","Organic Seqee Premium Large","Savla","NAKHEEL","641.00","8012.50","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
88,"2024-11-27","D-514","GR5973","ORGANIC KHIDRI LARGE","-","77155","2.00","12.500","25.00","Organic Dates","Organic Khidri Large dates","Savla","NAKHEEL","462.00","11550.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
89,"2024-11-27","D-514","GR5973","ORGANIC KHIDRI MEDIUM","-","77154","1.00","12.500","13.00","Organic Dates","Organic Khidri Premium Medium","Savla","NAKHEEL","403.00","5037.50","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
90,"2024-12-01","D-514","GR6074","ORGANIC SEQEE","PREMIUM LARGE","76583","1.00","12.500","13.00","Organic Dates","Organic Seqee Premium Large","Savla","NAKHEEL","641.00","8012.50","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
91,"2024-12-01","D-514","GR6074","ORGANIC AJWA","PR. JUMBO","76868","1.00","5.000","5.00","Organic Dates","Organic Ajwa Premium Large","Savla","NAKHEEL","789.00","3945.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
92,"2024-12-04","D-39","GR15092","WHOLE","APPLE INFUSEL","113027","6.00","9.080","54.00","Blueberry","Dried Blueberry Apple Infused","Savla","Tajir","1270.00","69189.60","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
